,var1,var2,correlation
1626,feature_21,feature_31,0.9586086497393957
3773,feature_77,feature_78,0.9581033939622853
3750,feature_75,feature_76,0.9574200587289491
3723,feature_73,feature_74,0.9559296218283456
1032,feature_12,feature_67,0.9468304114307253
1035,feature_12,feature_70,0.9384942807202609
1181,feature_14,feature_69,0.9313974792063585
1201,feature_15,feature_17,0.9206563116446718
3820,responder_4,responder_7,0.9191212940358718
1184,feature_14,feature_72,0.9110941326938087
1812,feature_24,feature_25,0.909403929802073
2397,feature_34,feature_35,0.8921284938329999
3815,responder_3,responder_6,0.8912018179917165
3726,feature_73,feature_77,0.8910683347981788
3740,feature_74,feature_78,0.8905605345778673
3097,feature_49,feature_60,0.88987734009805
3620,feature_67,feature_70,0.8879351071791293
3739,feature_74,feature_77,0.8852221021120186
3727,feature_73,feature_78,0.8849730298523864
2117,feature_29,feature_30,0.876383287391235
1107,feature_13,feature_68,0.8763768768573744
1272,feature_16,feature_17,0.8751668125370713
3018,feature_47,feature_58,0.874105796138358
2290,feature_32,feature_35,0.8595570830015451
2553,feature_37,feature_38,0.854809489844991
2289,feature_32,feature_34,0.8542388907621546
1214,feature_15,feature_30,0.8493374447741739
1355,feature_17,feature_30,0.8467813866755407
2977,feature_46,feature_57,0.8447576631267503
2935,feature_45,feature_56,0.8447183351665268
3824,responder_5,responder_8,0.8427800574935469
1110,feature_13,feature_71,0.821871866408801
3058,feature_48,feature_59,0.812684630258862
3659,feature_69,feature_72,0.8066014287098577
1200,feature_15,feature_16,0.8039100639826747
1998,feature_27,feature_28,0.8035803217662256
1459,feature_18,feature_65,0.7924663781917705
3504,feature_62,feature_64,0.7879497941748429
1528,feature_19,feature_66,0.7862055530788501
173,feature_02,feature_03,0.7817727120785991
1179,feature_14,feature_67,0.7805180410175827
1285,feature_16,feature_30,0.7734793983494918
2,feature_00,feature_03,0.7726625500366332
979,feature_12,feature_14,0.772580235855814
3676,feature_70,feature_72,0.7702456512326833
1213,feature_15,feature_29,0.7643578849838506
3751,feature_75,feature_77,0.7637317462331348
3763,feature_76,feature_78,0.7637211498338455
1037,feature_12,feature_72,0.7636794647366099
1,feature_00,feature_02,0.7633743327042574
1354,feature_17,feature_29,0.7629682079150513
2662,feature_39,feature_50,0.7624726199332587
3619,feature_67,feature_69,0.7613798126044576
3752,feature_75,feature_78,0.760066199454171
3762,feature_76,feature_77,0.7595948566525775
2803,feature_42,feature_53,0.7493944677951633
3622,feature_67,feature_72,0.7327152402665349
1182,feature_14,feature_70,0.7295601101742152
1053,feature_13,feature_14,0.7275035265506645
1034,feature_12,feature_69,0.7232123089699027
2206,feature_30,feature_62,0.7220446470281012
2208,feature_30,feature_64,0.721927296250168
1108,feature_13,feature_69,0.721616497626676
1246,feature_15,feature_62,0.7168402182222561
3528,feature_63,feature_64,0.7160518191244424
748,feature_09,feature_11,0.7116381816031785
3394,feature_58,feature_60,0.7087130133456964
1284,feature_16,feature_29,0.6997478479474991
3638,feature_68,feature_69,0.6976759919280865
1753,feature_23,feature_29,0.6950555406596789
1387,feature_17,feature_62,0.6917781545000421
3692,feature_71,feature_72,0.6885857694802251
1248,feature_15,feature_64,0.6860106945686567
1683,feature_22,feature_23,0.6848504683725759
1389,feature_17,feature_64,0.6773889663948055
3095,feature_49,feature_58,0.6729079829035595
1111,feature_13,feature_72,0.6672635567299574
426,feature_05,feature_07,0.6644029158585264
3009,feature_47,feature_49,0.6506198036890235
1183,feature_14,feature_71,0.6476121788207129
3657,feature_69,feature_70,0.6462249817211156
2151,feature_29,feature_64,0.6459447408516938
1180,feature_14,feature_68,0.6440543839374253
3738,feature_74,feature_76,0.6376593358367537
3724,feature_73,feature_75,0.6374636064585643
2149,feature_29,feature_62,0.6338673536791013
3725,feature_73,feature_76,0.6335526329037435
3737,feature_74,feature_75,0.632084253278107
1754,feature_23,feature_30,0.6294726692883058
1317,feature_16,feature_62,0.6202708547970177
3020,feature_47,feature_60,0.6192183933082297
1319,feature_16,feature_64,0.6119445765937553
1880,feature_25,feature_31,0.6107879177052637
1620,feature_21,feature_25,0.6054553687929023
1818,feature_24,feature_31,0.6004780863231953
1619,feature_21,feature_24,0.5972387607035279
3658,feature_69,feature_71,0.5696690897734087
3422,feature_59,feature_60,0.5682723261930176
3048,feature_48,feature_49,0.5576824911385484
1691,feature_22,feature_31,0.5569058574270006
1617,feature_21,feature_22,0.5537769572225203
3640,feature_68,feature_71,0.546493189550895
2757,feature_41,feature_52,0.5460950728348318
507,feature_06,feature_07,0.5447066437049918
3234,feature_53,feature_55,0.5439205292621357
1431,feature_18,feature_37,0.5242566380232702
3503,feature_62,feature_63,0.522020793315475
2892,feature_44,feature_55,0.5190109090773644
3641,feature_68,feature_72,0.5167711617003233
2799,feature_42,feature_49,0.5138325259059586
3239,feature_53,feature_60,0.5137195880931039
2580,feature_37,feature_65,0.5099325895754685
1348,feature_17,feature_23,0.5093792284542242
3126,feature_50,feature_52,0.5080052928565972
1207,feature_15,feature_23,0.5052090013396624
2702,feature_40,feature_43,0.5037829507529266
3096,feature_49,feature_59,0.5008700407358864
697,feature_08,feature_38,0.49780667840130816
2207,feature_30,feature_63,0.49710906282795514
3059,feature_48,feature_60,0.4949484937686581
3090,feature_49,feature_53,0.49099180832779615
2661,feature_39,feature_49,0.48958728467590745
1106,feature_13,feature_67,0.488624573866681
466,feature_05,feature_47,0.48862392211634736
3333,feature_56,feature_58,0.48749516851506025
2810,feature_42,feature_60,0.4863704152494516
3363,feature_57,feature_58,0.4829967338395299
477,feature_05,feature_58,0.47872645218044146
2794,feature_42,feature_44,0.47834419091811115
978,feature_12,feature_13,0.4781765886605582
1278,feature_16,feature_23,0.4774830633519147
3134,feature_50,feature_60,0.47620639227495776
2937,feature_45,feature_58,0.4748613632325246
3237,feature_53,feature_58,0.4716455144027309
2653,feature_39,feature_41,0.47020439721061474
2926,feature_45,feature_47,0.46344727626819304
2672,feature_39,feature_60,0.46251557766490564
629,feature_07,feature_49,0.4625124193022458
1388,feature_17,feature_63,0.4621005782273296
1247,feature_15,feature_63,0.46125327130348664
3016,feature_47,feature_56,0.45668722379342647
3087,feature_49,feature_50,0.4535969005363742
1432,feature_18,feature_38,0.45330902877836515
2978,feature_46,feature_58,0.4518088694567848
640,feature_07,feature_60,0.4501435763143395
2150,feature_29,feature_63,0.4498280970218413
3236,feature_53,feature_57,0.44745761926056504
2808,feature_42,feature_58,0.4471424646506984
1109,feature_13,feature_70,0.44584378260694624
2797,feature_42,feature_47,0.44488898081489126
2700,feature_40,feature_41,0.4430957861557136
3675,feature_70,feature_71,0.44211730145333994
1036,feature_12,feature_71,0.4411266954444004
3162,feature_51,feature_52,0.4410451817702683
3618,feature_67,feature_68,0.44024206329233645
3013,feature_47,feature_53,0.4386050363531375
3017,feature_47,feature_57,0.43697471919345204
3826,responder_6,responder_8,0.4360097603430108
2838,feature_43,feature_44,0.43356121418716276
2629,feature_38,feature_65,0.4315555157021432
3814,responder_3,responder_5,0.43075516747453324
1755,feature_23,feature_31,0.42812261863220347
1618,feature_21,feature_23,0.4267526678409065
1552,feature_20,feature_23,0.4266083249113995
3621,feature_67,feature_71,0.42620318683180175
2195,feature_30,feature_51,0.425598578699973
3825,responder_6,responder_7,0.4240145681100301
2967,feature_46,feature_47,0.4236392068836707
1318,feature_16,feature_63,0.4229036228025839
2796,feature_42,feature_46,0.42183104676715916
3813,responder_3,responder_4,0.4197991943878577
2805,feature_42,feature_55,0.41304955552974787
2664,feature_39,feature_52,0.41223618947864565
1033,feature_12,feature_68,0.41168945079028824
3304,feature_55,feature_60,0.4103780658318187
2138,feature_29,feature_51,0.4099444311260251
2945,feature_45,feature_66,0.40713619546707325
3303,feature_55,feature_59,0.4049422790125615
2973,feature_46,feature_53,0.4044994943505939
2807,feature_42,feature_57,0.40067693973565527
3816,responder_3,responder_7,0.3993738900037443
3819,responder_4,responder_6,0.3986426637575218
3817,responder_3,responder_8,0.3979040660955395
1306,feature_16,feature_51,0.3978357408965236
2886,feature_44,feature_49,0.3965258799675263
3341,feature_56,feature_66,0.39243078094059397
3822,responder_5,responder_6,0.3912116207522068
2755,feature_41,feature_50,0.3911114163618085
1507,feature_19,feature_45,0.3907406157730046
3204,feature_52,feature_59,0.3902096392393964
3793,responder_0,responder_2,0.39015499435475787
2890,feature_44,feature_53,0.386640497902125
3267,feature_54,feature_55,0.3860125997967305
1376,feature_17,feature_51,0.3809039166435867
1518,feature_19,feature_56,0.3804920084177665
2885,feature_44,feature_48,0.37955178589731375
1235,feature_15,feature_51,0.3775568800401176
3092,feature_49,feature_55,0.375735238305917
1775,feature_23,feature_51,0.3734216989927887
2753,feature_41,feature_48,0.37071318942774617
696,feature_08,feature_37,0.37003797475916855
1788,feature_23,feature_64,0.369911350694722
2897,feature_44,feature_60,0.36725843479234044
2670,feature_39,feature_58,0.3636526447844579
2659,feature_39,feature_47,0.3623383506938086
3639,feature_68,feature_70,0.3594032433795728
3132,feature_50,feature_58,0.3570230834435696
638,feature_07,feature_58,0.3556325892574044
3054,feature_48,feature_55,0.3542711380632392
1685,feature_22,feature_25,0.3541732639437401
548,feature_06,feature_48,0.3508634613990905
2657,feature_39,feature_45,0.35073277479429876
2754,feature_41,feature_49,0.3501530783322388
2196,feature_30,feature_52,0.3496062591051531
3130,feature_50,feature_56,0.34876334145099996
2631,feature_38,feature_67,0.34784458217365777
559,feature_06,feature_59,0.3476330325369671
3146,feature_50,feature_72,0.34748338538952517
1551,feature_20,feature_22,0.34600012064998026
1687,feature_22,feature_27,0.3459316830747772
1686,feature_22,feature_26,0.34517531181735356
1937,feature_26,feature_27,0.3451737972228431
3792,responder_0,responder_1,0.3448634539916778
1558,feature_20,feature_29,0.34139339984793216
3051,feature_48,feature_52,0.3394130600882269
1519,feature_19,feature_57,0.3388350492957925
3174,feature_51,feature_64,0.3362269629088198
2896,feature_44,feature_59,0.33619601768492424
2684,feature_39,feature_72,0.3353252158116547
2668,feature_39,feature_56,0.3344735276358096
1377,feature_17,feature_52,0.3317650425487095
3172,feature_51,feature_62,0.33166792246319615
2582,feature_37,feature_67,0.3314521350624324
627,feature_07,feature_47,0.33077304062488166
1236,feature_15,feature_52,0.32867206537349286
3205,feature_52,feature_60,0.3286367864710125
89,feature_01,feature_04,0.32821610925970424
3144,feature_50,feature_70,0.32784727953256404
2764,feature_41,feature_59,0.3267703901183193
2356,feature_33,feature_47,0.32571577390035866
3207,feature_52,feature_62,0.32555496401074957
619,feature_07,feature_39,0.3246339601260378
3010,feature_47,feature_50,0.32395618910964263
479,feature_05,feature_60,0.32126113784953225
630,feature_07,feature_50,0.3208555394795136
1786,feature_23,feature_62,0.3204888284774074
2929,feature_45,feature_50,0.31992150760674903
