,var1,var2,correlation
122,feature_75,feature_76,0.9595474484862753
127,feature_77,feature_78,0.9589072608652318
113,feature_73,feature_74,0.9583956159504149
41,feature_21,feature_31,0.9572020209585833
48,feature_29,feature_30,0.9463744202233438
52,feature_34,feature_35,0.9274826891545681
8,feature_12,feature_67,0.919933639163675
24,feature_15,feature_17,0.898859869066302
10,feature_12,feature_70,0.8977952650709025
50,feature_32,feature_35,0.8965036666301137
19,feature_14,feature_69,0.8928893672780566
49,feature_32,feature_34,0.890045516820214
55,feature_37,feature_38,0.8701566963078123
32,feature_17,feature_30,0.8691455144133516
121,feature_74,feature_78,0.866872385024231
116,feature_73,feature_77,0.8651682865273101
117,feature_73,feature_78,0.8650140477072065
120,feature_74,feature_77,0.8610566393122234
26,feature_15,feature_30,0.8575391063242848
2,feature_02,feature_03,0.8507452307729025
31,feature_17,feature_29,0.8506853236883094
1,feature_00,feature_03,0.8482245780795312
93,feature_49,feature_60,0.8477192439842863
0,feature_00,feature_02,0.8447219872277304
22,feature_14,feature_72,0.8398362562389647
80,feature_45,feature_56,0.8393704213443045
25,feature_15,feature_29,0.8392582847758105
47,feature_27,feature_28,0.8359767967055561
27,feature_16,feature_17,0.8325789722035276
13,feature_13,feature_68,0.8309250733173263
86,feature_47,feature_58,0.826795001374162
128,responder_3,responder_6,0.8234306478571629
129,responder_4,responder_7,0.8226473980083703
46,feature_24,feature_25,0.8222034458207961
82,feature_46,feature_57,0.8148358032036218
105,feature_63,feature_64,0.8076043936777976
104,feature_62,feature_64,0.7870686879818727
72,feature_40,feature_43,0.7785148732803909
35,feature_18,feature_65,0.7768712640739728
38,feature_19,feature_66,0.7702927315346284
107,feature_67,feature_70,0.7609711847799547
130,responder_5,responder_8,0.7442347558724677
29,feature_16,feature_30,0.7421813899826537
123,feature_75,feature_77,0.7309142838733426
126,feature_76,feature_78,0.7288987167499588
125,feature_76,feature_77,0.728847380094769
89,feature_48,feature_59,0.7283990027292269
28,feature_16,feature_29,0.727624295563335
124,feature_75,feature_78,0.726066032271718
7,feature_12,feature_14,0.7260482028006755
23,feature_15,feature_16,0.7250172975210996
15,feature_13,feature_71,0.7249786748069637
111,feature_70,feature_72,0.7233495578010782
101,feature_58,feature_60,0.7166736458353504
106,feature_67,feature_69,0.7134515687558481
17,feature_14,feature_67,0.7134178352092958
6,feature_09,feature_11,0.6875150025887334
3,feature_05,feature_07,0.668375246383153
11,feature_12,feature_72,0.6665889013338707
68,feature_39,feature_50,0.6644256215444085
92,feature_49,feature_58,0.6603141630589272
78,feature_43,feature_44,0.658570838271948
71,feature_40,feature_41,0.6574218573722291
20,feature_14,feature_70,0.6536121479545594
9,feature_12,feature_69,0.6485223204317767
77,feature_42,feature_53,0.6450018854958398
84,feature_47,feature_49,0.6356738497327319
12,feature_13,feature_14,0.6346068153070937
44,feature_23,feature_29,0.6303981139482896
110,feature_69,feature_72,0.6083032122372735
109,feature_68,feature_69,0.6074684475648443
112,feature_71,feature_72,0.6059516122961959
14,feature_13,feature_69,0.6033117598190931
45,feature_23,feature_30,0.5919501940025095
87,feature_47,feature_60,0.5772553013746247
96,feature_50,feature_60,0.5754955583858798
119,feature_74,feature_76,0.572436786966392
114,feature_73,feature_75,0.5718177500812313
115,feature_73,feature_76,0.5697342991020942
99,feature_56,feature_58,0.5695184583303391
102,feature_59,feature_60,0.569072292249417
118,feature_74,feature_75,0.5688854179322793
40,feature_21,feature_22,0.5659979765369932
98,feature_53,feature_60,0.5641960517852752
103,feature_62,feature_63,0.5635119274129505
73,feature_40,feature_44,0.5634218206871601
33,feature_18,feature_37,0.562939561214684
43,feature_22,feature_31,0.5624632443565727
74,feature_41,feature_43,0.5609276763289052
42,feature_22,feature_23,0.5600057615269555
108,feature_67,feature_72,0.5584560630654261
88,feature_48,feature_49,0.557349875551224
4,feature_06,feature_07,0.5512719259515699
100,feature_57,feature_58,0.5504205354387581
75,feature_42,feature_44,0.5478963130831949
66,feature_39,feature_41,0.5449595918710735
67,feature_39,feature_49,0.5409245775615109
81,feature_45,feature_58,0.5402317998804654
60,feature_37,feature_65,0.5359475370422198
39,feature_20,feature_22,0.5357586583646482
16,feature_13,feature_72,0.5356338177481489
90,feature_49,feature_50,0.535386892321506
18,feature_14,feature_68,0.5275235874553421
76,feature_42,feature_49,0.5257533460029565
95,feature_50,feature_58,0.5220424055295109
91,feature_49,feature_53,0.5207725494966372
83,feature_46,feature_58,0.5183912732703777
5,feature_08,feature_38,0.518230583695914
79,feature_45,feature_47,0.5123007355239457
85,feature_47,feature_56,0.5090410324243175
94,feature_50,feature_52,0.5089065499512411
70,feature_39,feature_60,0.5087009325048065
34,feature_18,feature_38,0.5086000482574466
97,feature_53,feature_55,0.5041803746960929
21,feature_14,feature_71,0.5040253951863268
30,feature_17,feature_23,0.5033717314696049
69,feature_39,feature_58,0.5024950108434044
37,feature_19,feature_56,0.5023345428077777
63,feature_38,feature_46,-0.5086983180481524
61,feature_37,feature_66,-0.5193014518614548
65,feature_38,feature_57,-0.5336586432652396
36,feature_19,feature_37,-0.554869096411093
57,feature_37,feature_46,-0.5576957429957189
62,feature_38,feature_45,-0.5659581465107
51,feature_32,feature_61,-0.5770051863311982
64,feature_38,feature_56,-0.5840974949955584
59,feature_37,feature_57,-0.585847405409761
54,feature_35,feature_61,-0.6055651942232532
53,feature_34,feature_61,-0.6058672928574547
56,feature_37,feature_45,-0.6238787459006897
58,feature_37,feature_56,-0.6425958888950922
